country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
USA:USA,0.0,0.03333333333333333,0.0,0.0,,,2724913.0
United Kingdom:GBR,0.0,0.03333333333333333,0.0,0.0,,,1221531.0
China:CHN,0.0,0.03333333333333333,0.0,0.0,,,275846.0
Australia:AUS,0.0,0.03333333333333333,0.0,0.0,,,88441.0
Denmark:DNK,0.0,0.03333333333333333,0.0,0.0,,,517862.0
Djibouti:DJI,0.0,0.03333333333333333,0.0,0.0,,,4406090.0
Canada:CAN,0.0,0.03333333333333333,0.0,0.0,,,222535.0
Germany:DEU,0.0,0.03333333333333333,0.0,0.0,,,10448917.0
Belgium:BEL,0.45849056603773586,0.03333333333333333,0.03333333333333333,0.0,,,962867.0
Norway:NOR,0.0,0.03333333333333333,0.0,0.0,,,236242.0
Sweden:SWE,0.0,0.03333333333333333,0.0,0.0,,,458084.0
India:IND,0.4751515151515151,0.0,0.03333333333333333,0.0,4.012858555885262,4057.0,
New Zealand:NZL,0.45849056603773586,0.03333333333333333,0.03333333333333333,0.0,,,1742.0
Yemen:YEM,0.45849056603773586,0.03333333333333333,0.03333333333333333,0.0,1.9965308034540739,683715.0,121829.0
Myanmar:MMR,0.0,0.03333333333333333,0.0,0.0,,,388448.0
Saudi Arabia:SAU,0.0,0.03333333333333333,0.0,0.0,,,2279677.0
Netherlands:NLD,0.0,0.03333333333333333,0.0,0.0,1.50275,36066.0,278436.0
Switzerland:CHE,0.0,0.03333333333333333,0.0,0.0,,,552504.0
Spain:ESP,0.0,0.03333333333333333,0.0,0.0,,,40038.0
Bulgaria:BGR,0.0,0.03333333333333333,0.0,0.0,,,40836.0
Ethiopia:ETH,0.9,0.23333333333333334,0.9,0.21264367816091953,2.161016617367653,44030856.0,1162271.0
Portugal:PRT,0.0,0.03333333333333333,0.0,0.0,,,8793552.0
Swaziland:SWZ,0.0,0.03333333333333333,0.0,0.0,,,260250.0
Greece:GRC,0.0,0.03333333333333333,0.0,0.0,0.9573034909888397,250556.0,120979.0
Rep. of Korea:KOR,0.0,0.03333333333333333,0.0,0.0,,,39635.0
United Arab Emirates:ARE,0.45849056603773586,0.03333333333333333,0.03333333333333333,0.0,8.12133072407045,8300.0,39952.0
Italy:ITA,0.0,0.03333333333333333,0.0,0.0,,,2259353.0
Viet Nam:VNM,0.4751515151515151,0.0,0.03333333333333333,0.0,1.4637057327333203,179544.0,
Japan:JPN,0.0,0.03333333333333333,0.0,0.0,,,5541071.0
South Africa:ZAF,0.4751515151515151,0.0,0.03333333333333333,0.0,6.6,33.0,
France:FRA,0.0,0.03333333333333333,0.0,0.0,,,1709226.0
