"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"58",1889,1889,"Ethiopia:ETH","Canada:CAN",9,2,"ETH","CAN","Coffee",2015
"59",1890,1890,"Ethiopia:ETH","Finland:FIN",823,100,"ETH","FIN","Coffee",2015
"60",1891,1891,"Ethiopia:ETH","Germany:DEU",1019435,191700,"ETH","DEU","Coffee",2015
"61",1892,1892,"Ethiopia:ETH","Netherlands:NLD",9158,1055,"ETH","NLD","Coffee",2015
"62",1893,1893,"Ethiopia:ETH","Nigeria:NGA",817,90,"ETH","NGA","Coffee",2015
"63",1894,1894,"Ethiopia:ETH","Russian Federation:RUS",993,120,"ETH","RUS","Coffee",2015
"64",1895,1895,"Ethiopia:ETH","Sweden:SWE",3833,360,"ETH","SWE","Coffee",2015
"65",1896,1896,"Ethiopia:ETH","USA:USA",3983,364,"ETH","USA","Coffee",2015
"66",1897,1897,"Ethiopia:ETH","Albania:ALB",45107,19200,"ETH","ALB","Coffee",2010
"67",1898,1898,"Ethiopia:ETH","Australia:AUS",10352159,2581820,"ETH","AUS","Coffee",2010
"68",1899,1899,"Ethiopia:ETH","Armenia:ARM",64311,17040,"ETH","ARM","Coffee",2010
"69",1900,1900,"Ethiopia:ETH","Belgium:BEL",48036073,14474600,"ETH","BEL","Coffee",2010
"70",1901,1901,"Ethiopia:ETH","Bulgaria:BGR",63297,18000,"ETH","BGR","Coffee",2010
"71",1902,1902,"Ethiopia:ETH","Canada:CAN",5426821,1388041,"ETH","CAN","Coffee",2010
"72",1903,1903,"Ethiopia:ETH","China:CHN",995119,263318,"ETH","CHN","Coffee",2010
"73",1904,1904,"Ethiopia:ETH","Croatia:HRV",457696,192000,"ETH","HRV","Coffee",2010
"74",1905,1905,"Ethiopia:ETH","Cyprus:CYP",84328,18000,"ETH","CYP","Coffee",2010
"75",1906,1906,"Ethiopia:ETH","Denmark:DNK",904591,271800,"ETH","DNK","Coffee",2010
"76",1907,1907,"Ethiopia:ETH","Estonia:EST",506776,148800,"ETH","EST","Coffee",2010
"77",1908,1908,"Ethiopia:ETH","Finland:FIN",2707536,684000,"ETH","FIN","Coffee",2010
"78",1909,1909,"Ethiopia:ETH","France:FRA",33541991,10814760,"ETH","FRA","Coffee",2010
"79",1910,1910,"Ethiopia:ETH","Djibouti:DJI",235011,113400,"ETH","DJI","Coffee",2010
"80",1911,1911,"Ethiopia:ETH","Georgia:GEO",4446,1000,"ETH","GEO","Coffee",2010
"81",1912,1912,"Ethiopia:ETH","Germany:DEU",234281083,75642146,"ETH","DEU","Coffee",2010
"82",1913,1913,"Ethiopia:ETH","Greece:GRC",859777,278400,"ETH","GRC","Coffee",2010
"83",1914,1914,"Ethiopia:ETH","China, Hong Kong SAR:HKG",198828,56400,"ETH","HKG","Coffee",2010
"84",1915,1915,"Ethiopia:ETH","Indonesia:IDN",98167,18000,"ETH","IDN","Coffee",2010
"85",1916,1916,"Ethiopia:ETH","Israel:ISR",4684946,1409613,"ETH","ISR","Coffee",2010
"86",1917,1917,"Ethiopia:ETH","Italy:ITA",33728859,9335940,"ETH","ITA","Coffee",2010
"87",1918,1918,"Ethiopia:ETH","Japan:JPN",34620771,9264548,"ETH","JPN","Coffee",2010
"88",1919,1919,"Ethiopia:ETH","Jordan:JOR",1430410,524400,"ETH","JOR","Coffee",2010
"89",1920,1920,"Ethiopia:ETH","Dem. People's Rep. of Korea:PRK",44810,18000,"ETH","PRK","Coffee",2010
"90",1921,1921,"Ethiopia:ETH","Rep. of Korea:KOR",8082527,2378962,"ETH","KOR","Coffee",2010
"91",1922,1922,"Ethiopia:ETH","Lebanon:LBN",178391,72000,"ETH","LBN","Coffee",2010
"92",1923,1923,"Ethiopia:ETH","Latvia:LVA",1130271,357600,"ETH","LVA","Coffee",2010
"93",1924,1924,"Ethiopia:ETH","Libya:LBY",117545,36000,"ETH","LBY","Coffee",2010
"94",1925,1925,"Ethiopia:ETH","Malaysia:MYS",9478,2000,"ETH","MYS","Coffee",2010
"95",1926,1926,"Ethiopia:ETH","Mexico:MEX",679680,162000,"ETH","MEX","Coffee",2010
