country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Spain:ESP,0.0,0.020618556701030927,0.0,0.0,4.81848690945647,48119317.0,313365527.0
Bolivia (Plurinational State of):BOL,0.4262242268041237,0.005154639175257732,0.07216494845360824,0.005021099300251054,2.3918606667454267,11241890.0,6950.0
Kenya:KEN,0.5044626465188532,0.05670103092783505,0.21649484536082475,0.009916108981522093,2.278328506866708,119844699.0,1283308.0
Paraguay:PRY,0.0,0.005154639175257732,0.0,0.0,,,564030.0
Dem. Rep. of the Congo:COD,0.0,0.020618556701030927,0.0,0.0,,,233790.0
Saint Kitts and Nevis:KNA,0.33417217056149084,0.010309278350515464,0.005154639175257732,0.0,0.896551724137931,130.0,1125.0
Andorra:AND,0.3191141524772642,0.020618556701030927,0.005154639175257732,4.551517737934234e-05,1.33125,31950.0,490885.0
Eritrea:ERI,0.0,0.015463917525773196,0.0,0.0,,,145532.0
Indonesia:IDN,0.539967348913142,0.05670103092783505,0.30412371134020616,0.014209373976109265,1.1740540653730336,491284117.0,4469688.0
Somalia:SOM,0.0,0.010309278350515464,0.0,0.0,,,54057.0
Greece:GRC,0.41192140040130076,0.14948453608247422,0.09278350515463918,0.0054447112179501255,3.20499073970233,2204796.0,53759764.0
Japan:JPN,0.3547762350277099,0.24742268041237114,0.020618556701030927,0.010106348294940856,14.652311698870783,279535.0,722525180.0
Panama:PAN,0.4082679955196928,0.03608247422680412,0.05154639175257732,1.8850950326720567e-05,2.6944596172768014,13613413.0,4201982.0
Fmr Sudan:SDN,0.0,0.03608247422680412,0.0,0.0,,,29155086.0
Mongolia:MNG,0.005154639175257732,0.010309278350515464,0.005154639175257732,0.0011574958880124207,,,3000.0
South Africa:ZAF,0.49764558372805795,0.13917525773195877,0.211340206185567,0.049446814952096345,9.69549816222244,1759087.0,21599607.0
Algeria:DZA,0.3288015463917526,0.07731958762886598,0.010309278350515464,0.0021349275930355135,3.18125,1629.0,70036504.0
Côte d'Ivoire:CIV,0.433244390539721,0.02577319587628866,0.10309278350515463,0.004530007342084242,0.8017908853734836,69311108.0,99361.0
Brazil:BRA,0.55293953747562,0.015463917525773196,0.3711340206185567,0.015799842840301125,1.7564139341224645,2514011363.0,43647.0
Estonia:EST,0.36533505154639173,0.005154639175257732,0.015463917525773196,0.0,4.684633660976195,1776797.0,17697.0
Ethiopia:ETH,0.45689544908035096,0.03608247422680412,0.13402061855670103,0.004356971386520557,2.3653860045046904,32511136.0,910495.0
Nepal:NPL,0.0,0.005154639175257732,0.0,0.0,,,105504.0
Libya:LBY,0.0,0.041237113402061855,0.0,0.0,,,2375855.0
Peru:PER,0.48454964731416167,0.020618556701030927,0.18556701030927836,0.0007749879643423807,2.1453934341588616,306074879.0,1055316.0
Cyprus:CYP,0.3073937662427069,0.07731958762886598,0.005154639175257732,0.0050727391375018725,1.3268888888888888,23884.0,2913860.0
Turkmenistan:TKM,0.0,0.020618556701030927,0.0,0.0,,,3203.0
El Salvador:SLV,0.45803200492383445,0.02577319587628866,0.12371134020618557,0.0030576612289431562,2.3108719041186605,163072456.0,3271350.0
Uruguay:URY,0.0,0.010309278350515464,0.0,0.0,,,1722284.0
Switzerland:CHE,0.44691472325092585,0.211340206185567,0.10824742268041238,0.020595927685124898,8.137385359974997,4252536.0,222439632.0
Ukraine:UKR,0.0,0.05154639175257732,0.0,0.0,,,3679560.0
Lao People's Dem. Rep.:LAO,0.0,0.005154639175257732,0.0,0.0,,,72546.0
Bahamas:BHS,0.4745589329365501,0.030927835051546393,0.15463917525773196,0.0013641892957100268,,,123943.0
Suriname:SUR,0.0,0.05154639175257732,0.0,0.0,,,8256.0
Poland:POL,0.26117569642465455,0.005154639175257732,0.005154639175257732,0.0,3.015391870599916,1759518.0,77203060.0
Cambodia:KHM,0.4128449909851602,0.09278350515463918,0.10309278350515463,0.006336640560137308,0.7881553398058252,8118.0,90589.0
Austria:AUT,0.4415560335236965,0.010309278350515464,0.12371134020618557,0.00023652831939452502,3.8107085168940467,1854072.0,121219345.0
Burundi:BDI,0.0,0.005154639175257732,0.0,0.0,1.8912428279356428,46454844.0,199478.0
N. Mariana Isds:MNP,0.6076860263345922,0.02577319587628866,0.4381443298969072,0.019699658308229506,,,5151.0
Turks and Caicos Isds:TCA,0.4029078030183401,0.05670103092783505,0.06701030927835051,0.0030088305661340378,,,10553.0
Turkey:TUR,0.40467882632831087,0.02577319587628866,0.05670103092783505,0.004468366282986357,6.255387437351806,36600.0,17004906.0
Zambia:ZMB,0.0,0.020618556701030927,0.0,0.0,4.3993473587335465,12531704.0,88279.0
Brunei Darussalam:BRN,0.30037335396310183,0.030927835051546393,0.010309278350515464,0.00023119586283546547,,,126900.0
Croatia:HRV,0.4910103092783505,0.27319587628865977,0.20103092783505155,0.04854542065432998,9.410108817805552,36788.0,8610605.0
Sao Tome and Principe:STP,0.42134751940361886,0.010309278350515464,0.07731958762886598,8.457525417089543e-06,,,1640.0
Dominican Rep.:DOM,0.0,0.04639175257731959,0.0,0.0,2.9407939119702857,4916187.0,31450.0
Dem. People's Rep. of Korea:PRK,0.0,0.005154639175257732,0.0,0.0,,,12140911.0
Faeroe Isds:FRO,0.0,0.020618556701030927,0.0,0.0,,,10.0
Saint Vincent and the Grenadines:VCT,0.0,0.015463917525773196,0.0,0.0,,,3934.0
New Caledonia:NCL,0.0,0.005154639175257732,0.0,0.0,,,227305.0
Guinea-Bissau:GNB,0.0,0.030927835051546393,0.0,0.0,,,1425.0
Belarus:BLR,0.47333898709352556,0.20618556701030927,0.17525773195876287,0.025593596170420205,,,220330.0
Solomon Isds:SLB,0.539967348913142,0.31958762886597936,0.3402061855670103,0.09470740389063247,,,11105.0
Germany:DEU,0.0,0.015463917525773196,0.0,0.0,2.7984548416683026,587165000.0,1413074585.0
Maldives:MDV,0.39092956770337,0.0,0.041237113402061855,0.0,,,14958.0
Togo:TGO,0.3033424480714686,0.030927835051546393,0.010309278350515464,0.0,0.6225492876896367,4292687.0,
Israel:ISR,0.38682534869617946,0.13402061855670103,0.05670103092783505,0.004827596300042205,1.6247552876593285,339000.0,28098333.0
Greenland:GRL,0.0,0.010309278350515464,0.0,0.0,,,1747.0
Gibraltar:GIB,0.2974618190296954,0.041237113402061855,0.005154639175257732,0.0030180011751509,,,78551.0
Chile:CHL,0.2494971083731456,0.030927835051546393,0.005154639175257732,2.427997727394127e-06,12.322695035460994,6950.0,14923962.0
Georgia:GEO,0.0,0.005154639175257732,0.0,0.0,22.0,198.0,9865602.0
State of Palestine:PSE,0.2505154639175257,0.010309278350515464,0.010309278350515464,0.0,,,109134.0
Armenia:ARM,0.3487289128397376,0.005154639175257732,0.05670103092783505,0.003176023360575468,1.3952780553551394,3361259.0,225736.0
Trinidad and Tobago:TTO,0.3487289128397376,0.02577319587628866,0.010309278350515464,1.0605520180759992e-05,12.231270576166303,26999.0,537.0
Lithuania:LTU,0.3610369921164342,0.04639175257731959,0.030927835051546393,0.0004992398024842694,4.160510752688172,39122.0,697629.0
Slovakia:SVK,0.0,0.015463917525773196,0.0,0.0,inf,30730.0,2867360.0
Congo:COG,0.40917525773195873,0.030927835051546393,0.041237113402061855,5.003383023456369e-05,,,29597.0
Cuba:CUB,0.46497188378631676,0.23711340206185566,0.15979381443298968,0.016670233982808952,1.4637023138036782,4731308.0,19895100.0
Netherlands:NLD,0.0,0.030927835051546393,0.0,0.0,3.636751685047736,15341884.0,327790851.0
French Polynesia:PYF,0.373486543568725,0.04639175257731959,0.020618556701030927,0.001804417335895306,,,338906.0
Mexico:MEX,0.0,0.005154639175257732,0.0,0.0,2.5537765292689167,215626791.0,32781310.0
Burkina Faso:BFA,0.0,0.010309278350515464,0.0,0.0,,,11992.0
Sierra Leone:SLE,0.0,0.015463917525773196,0.0,0.0,,,818160.0
Iraq:IRQ,0.5058485329103886,0.02577319587628866,0.211340206185567,0.007046535551692241,,,133733.0
United Rep. of Tanzania:TZA,0.0,0.015463917525773196,0.0,0.0,1.4278568723513283,79263994.0,323058.0
Myanmar:MMR,0.0,0.010309278350515464,0.0,0.0,,,395414.0
