country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
India,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.0010054461667364893,,,240691000.0
New Zealand,0.2932522985818919,0.0,0.1032258064516129,0.0,,,320499.0
Bunkers,0.0,0.0064516129032258064,0.0,0.0,,,19006.0
Cuba,0.16355563610003623,0.0064516129032258064,0.03225806451612903,6.284038542103058e-05,0.35461285212729704,164946157.0,
Australia,0.0,0.05806451612903226,0.0,0.0,0.5324554692651277,993493.0,59998.0
El Salvador,0.0,0.012903225806451613,0.0,0.0,0.22181417362840658,66555408.0,48416.0
Spain,0.0,0.025806451612903226,0.0,0.0,,,8483427.0
Djibouti,0.0,0.012903225806451613,0.0,0.0,,,2579910.0
Iceland,0.0,0.0064516129032258064,0.0,0.0,,,147426.0
Faeroe Isds,0.0,0.012903225806451613,0.0,0.0,,,10235.0
Ireland,0.0,0.05806451612903226,0.0,0.0,,,541651.0
Portugal,0.0,0.025806451612903226,0.0,0.0,,,59594593.0
Turkey,0.0,0.012903225806451613,0.0,0.0,,,1671.0
Luxembourg,0.0,0.0064516129032258064,0.0,0.0,,,260021.0
French Polynesia,0.0,0.012903225806451613,0.0,0.0,,,61854.0
Vanuatu,0.0064516129032258064,0.0,0.0064516129032258064,0.0,,,31526.0
Israel,0.06451612903225806,0.0064516129032258064,0.06451612903225806,0.0010263929618768328,,,19573.0
New Caledonia,0.2043956043956044,0.025806451612903226,0.01935483870967742,0.00012847367686077366,,,97232.0
Italy,0.0,0.06451612903225806,0.0,0.0,,,10793335.0
Czechia,0.0,0.012903225806451613,0.0,0.0,2.3218587382209175,20507.0,155315.0
Croatia,0.0,0.012903225806451613,0.0,0.0,1.4348019581664442,38688.0,10443492.0
Oman,0.0064516129032258064,0.0,0.0064516129032258064,0.0,,,3162.0
N. Mariana Isds,0.0,0.03870967741935484,0.0,0.0,,,37891.0
Panama,0.0,0.012903225806451613,0.0,0.0,,,742.0
Dem. People's Rep. of Korea,0.22878059940517045,0.0,0.08387096774193549,0.0,,,3231883.0
Saudi Arabia,0.0,0.012903225806451613,0.0,0.0,,,71324702.0
Niger,0.0,0.0064516129032258064,0.0,0.0,,,63617.0
Costa Rica,0.0,0.03225806451612903,0.0,0.0,0.8958997748122517,29726672.0,
Syria,0.0,0.0064516129032258064,0.0,0.0,,,17118675.0
Lithuania,0.0064516129032258064,0.0,0.0064516129032258064,0.0,,,22553750.0
Benin,0.0,0.03225806451612903,0.0,0.0,0.44873266666666667,2692396.0,
Greece,0.0,0.0064516129032258064,0.0,0.0,,,493785.0
Tonga,0.2669856459330143,0.05161290322580645,0.15483870967741936,0.010240189917609274,,,242387.0
Belgium,0.0,0.1032258064516129,0.0,0.0,1.8322631536441267,12564282.0,16178859.0
United Kingdom,0.30491803278688523,0.07741935483870968,0.25161290322580643,0.032188241865661216,,,154775722.0
Germany,0.0,0.0064516129032258064,0.0,0.0,2.0828276274634945,5864000.0,6834757.0
United Rep. of Tanzania,0.0,0.07096774193548387,0.0,0.0,,,1135848.0
Netherlands,0.0,0.012903225806451613,0.0,0.0,,,7204490.0
TFYR of Macedonia,0.04750733137829913,0.025806451612903226,0.04516129032258064,0.0007994693478564446,,,15202.0
Solomon Isds,0.22319999999999998,0.03225806451612903,0.0967741935483871,0.004500768049155146,,,43577.0
Denmark,0.0,0.0064516129032258064,0.0,0.0,1.9643894407252032,1952287.0,1351042.0
"Other Asia, nes",0.0,0.0064516129032258064,0.0,0.0,,,804903.0
Kiribati,0.04516129032258064,0.012903225806451613,0.04516129032258064,0.004922496857980729,,,651572.0
Congo,0.0,0.0064516129032258064,0.0,0.0,,,8886734.0
Wallis and Futuna Isds,0.2364406779661017,0.03225806451612903,0.12903225806451613,0.015007680491551462,,,3594.0
Montserrat,0.0,0.0064516129032258064,0.0,0.0,,,455.0
Pakistan,0.0,0.0064516129032258064,0.0,0.0,,,83747487.0
Free Zones,0.0,0.0064516129032258064,0.0,0.0,,,220.0
Bolivia (Plurinational State of),0.16026432484131817,0.0,0.03225806451612903,0.0,0.40893397030804846,5543050.0,
Sri Lanka,0.0,0.0064516129032258064,0.0,0.0,,,8441.0
Sao Tome and Principe,0.0,0.0064516129032258064,0.0,0.0,,,138452.0
Mauritania,0.0,0.012903225806451613,0.0,0.0,,,3999044.0
Slovakia,0.0,0.01935483870967742,0.0,0.0,,,31144.0
Br. Virgin Isds,0.0,0.0064516129032258064,0.0,0.0,,,32.0
Equatorial Guinea,0.0,0.0064516129032258064,0.0,0.0,,,1826.0
