country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Samoa:WSM,0.0,0.01807228915662651,0.0,0.0,,,2502472.0
Venezuela:VEN,0.0,0.03614457831325302,0.0,0.0,,,391872397.0
Spain:ESP,0.0,0.03614457831325302,0.0,0.0,,,127418109.0
Vanuatu:VUT,0.0,0.012048192771084338,0.0,0.0,,,173523.0
Finland:FIN,0.0,0.006024096385542169,0.0,0.0,1.9688260133061624,2364048.0,28176120.0
Bolivia (Plurinational State of):BOL,0.38270090671966217,0.03614457831325302,0.0783132530120482,0.007747613831951182,0.6408528865498426,5702884.0,9884.0
Bangladesh:BGD,0.2780673254817021,0.012048192771084338,0.024096385542168676,4.998348371842347e-05,6.386206896551724,3704.0,389736547.0
Sri Lanka:LKA,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.0,,,4599222.0
Paraguay:PRY,0.0,0.006024096385542169,0.0,0.0,,,5191687.0
Suriname:SUR,0.0,0.006024096385542169,0.0,0.0,,,506738.0
Wallis and Futuna Isds:WLF,0.0,0.012048192771084338,0.0,0.0,,,15543.0
Ecuador:ECU,0.37591886533475677,0.006024096385542169,0.060240963855421686,0.0027547643018617824,1.1687106684822313,8640609.0,884.0
Dem. Rep. of the Congo:COD,0.0,0.012048192771084338,0.0,0.0,,,14768899.0
United Kingdom:GBR,0.0,0.0963855421686747,0.0,0.0,,,286173447.0
Azerbaijan:AZE,0.0,0.006024096385542169,0.0,0.0,,,1325.0
Andorra:AND,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0,0.09967924528301887,5283.0,102068.0
Syria:SYR,0.0,0.006024096385542169,0.0,0.0,,,271519302.0
Eritrea:ERI,0.0,0.01807228915662651,0.0,0.0,,,1143840.0
Haiti:HTI,0.3621657361151925,0.030120481927710843,0.05421686746987952,0.0010136070979444474,,,14736121.0
Czechia:CZE,0.3535427423981641,0.01807228915662651,0.12048192771084337,0.0058204785559659595,10.122884905456079,396707.0,1572846.0
"China, Hong Kong SAR:HKG",0.0,0.006024096385542169,0.0,0.0,1.587572022509664,1369851.0,756817.0
Indonesia:IDN,0.0,0.01807228915662651,0.0,0.0,,,487198451.0
Slovenia:SVN,0.0,0.01807228915662651,0.0,0.0,,,1294513.0
Mayotte:MYT,0.0,0.006024096385542169,0.0,0.0,,,19883.0
French Polynesia:PYF,0.0,0.01807228915662651,0.0,0.0,4.5514018691588785,2922.0,29162.0
Greece:GRC,0.0,0.030120481927710843,0.0,0.0,,,5186469.0
Japan:JPN,0.0,0.03614457831325302,0.0,0.0,,,56643235.0
Russian Federation:RUS,0.0,0.04819277108433735,0.0,0.0,,,1596519162.0
Fmr Sudan:SDN,0.006024096385542169,0.012048192771084338,0.006024096385542169,1.8254837531945966e-05,0.46374906862745097,9460481.0,35271134.0
Philippines:PHL,0.0,0.01807228915662651,0.0,0.0,,,6570677.0
United Arab Emirates:ARE,0.0,0.006024096385542169,0.0,0.0,,,204343604.0
South Africa:ZAF,0.0,0.030120481927710843,0.0,0.0,,,8135955.0
Algeria:DZA,0.0,0.006024096385542169,0.0,0.0,,,495874099.0
Bermuda:BMU,0.0,0.006024096385542169,0.0,0.0,,,68332.0
Mexico:MEX,0.0,0.01807228915662651,0.0,0.0,,,2310861.0
Morocco:MAR,0.0,0.006024096385542169,0.0,0.0,,,352679343.0
Oman:OMN,0.3359455923240473,0.042168674698795185,0.14457831325301207,0.028674210155590223,,,12877.0
Australia:AUS,0.008032128514056224,0.006024096385542169,0.006024096385542169,0.0018985031033223803,1.7909887717374993,7514031.0,568037.0
Jordan:JOR,0.6212885012854766,0.006024096385542169,0.5,0.02909673325335976,,,2048724.0
Brazil:BRA,0.0,0.006024096385542169,0.0,0.0,0.5066501946928927,9286287221.0,64300.0
Aruba:ABW,0.0,0.012048192771084338,0.0,0.0,,,102795.0
Guinea-Bissau:GNB,0.3336807905780425,0.01807228915662651,0.04819277108433735,5.11135450894487e-05,,,264600.0
Uzbekistan:UZB,0.0,0.03614457831325302,0.0,0.0,,,927970.0
Estonia:EST,0.0,0.03614457831325302,0.0,0.0,2.263282621453011,35443.0,118104.0
Guyana:GUY,0.43931346688529266,0.030120481927710843,0.0963855421686747,0.038772323980429124,,,1953.0
Hungary:HUN,0.0,0.012048192771084338,0.0,0.0,,,1037050.0
Panama:PAN,0.0,0.006024096385542169,0.0,0.0,,,15452.0
Thailand:THA,0.0,0.024096385542168676,0.0,0.0,,,224964.0
Côte d'Ivoire:CIV,0.0,0.012048192771084338,0.0,0.0,1.3797342657342657,6905570.0,6628.0
Peru:PER,0.0,0.024096385542168676,0.0,0.0,,,6609503.0
Nigeria:NGA,0.0,0.030120481927710843,0.0,0.0,,,267277115.0
Burkina Faso:BFA,0.0,0.01807228915662651,0.0,0.0,1.3362875,106903.0,6905570.0
Belgium:BEL,0.0,0.006024096385542169,0.0,0.0,2.576372288998902,23413272.0,8691493.0
Colombia:COL,0.0,0.030120481927710843,0.0,0.0,,,958423.0
Montserrat:MSR,0.0,0.012048192771084338,0.0,0.0,,,874.0
Switzerland:CHE,0.0,0.006024096385542169,0.0,0.0,,,804734.0
Gambia:GMB,0.43931346688529266,0.012048192771084338,0.1566265060240964,0.013876225089259044,,,830328.0
Greenland:GRL,0.0,0.030120481927710843,0.0,0.0,,,15598.0
Pakistan:PAK,0.0,0.012048192771084338,0.0,0.0,,,589953.0
Libya:LBY,0.0,0.042168674698795185,0.0,0.0,,,983649.0
Argentina:ARG,0.0,0.012048192771084338,0.0,0.0,0.6687126648968618,80639926.0,22486.0
Neth. Antilles:ANT,0.0,0.006024096385542169,0.0,0.0,,,2219299.0
Kenya:KEN,0.006024096385542169,0.0,0.006024096385542169,0.0,,,98699885.0
Montenegro:MNE,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0,,,26937.0
Mali:MLI,0.37496957527078006,0.03614457831325302,0.16265060240963855,0.0038864838864838868,,,106903.0
Cambodia:KHM,0.0,0.012048192771084338,0.0,0.0,0.45466,4546600.0,
Bahamas:BHS,0.0,0.012048192771084338,0.0,0.0,4.411764705882353,300.0,3517059.0
Austria:AUT,0.0,0.006024096385542169,0.0,0.0,1.5383222860506984,1890768.0,8240752.0
Tuvalu:TUV,0.30679328885791096,0.01807228915662651,0.08433734939759037,0.011696403876031476,,,163076.0
New Caledonia:NCL,0.3329326273704684,0.03614457831325302,0.030120481927710843,0.00026544851846056663,,,117533.0
Viet Nam:VNM,0.0,0.012048192771084338,0.0,0.0,,,341.0
Egypt:EGY,0.0,0.012048192771084338,0.0,0.0,0.6319122295232386,122503080.0,482528696.0
Zambia:ZMB,0.0,0.03614457831325302,0.0,0.0,,,88.0
Senegal:SEN,0.19745738272237887,0.024096385542168676,0.006024096385542169,0.0002251429962273336,,,568326.0
Norway:NOR,0.0,0.012048192771084338,0.0,0.0,,,1198040.0
Croatia:HRV,0.0,0.012048192771084338,0.0,0.0,2.491956712489032,8520.0,57695513.0
Saint Lucia:LCA,0.0,0.01807228915662651,0.0,0.0,,,2607.0
Liberia:LBR,0.0,0.006024096385542169,0.0,0.0,,,2380370.0
Grenada:GRD,0.0,0.006024096385542169,0.0,0.0,,,561.0
Cameroon:CMR,0.0,0.006024096385542169,0.0,0.0,,,4207102.0
Nauru:NRU,0.0,0.006024096385542169,0.0,0.0,,,9472.0
Saint Vincent and the Grenadines:VCT,0.0,0.006024096385542169,0.0,0.0,,,1036.0
Rwanda:RWA,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.0,,,1620914.0
"China, Macao SAR:MAC",0.0,0.006024096385542169,0.0,0.0,,,395767.0
Cabo Verde:CPV,0.4966152234355482,0.07228915662650603,0.3132530120481928,0.04043729160377572,0.8682795698924731,1615.0,296287.0
Belarus:BLR,0.0,0.006024096385542169,0.0,0.0,1.1235955056179776,400.0,9271237.0
Solomon Isds:SLB,0.0,0.006024096385542169,0.0,0.0,,,74541.0
Germany:DEU,0.0,0.006024096385542169,0.0,0.0,2.4902728488894477,30599932.0,18095641.0
Malaysia:MYS,0.30679328885791096,0.01807228915662651,0.042168674698795185,0.007872028583967247,,,371815203.0
Poland:POL,0.0,0.012048192771084338,0.0,0.0,,,1695735.0
Turkey:TUR,0.0,0.03614457831325302,0.0,0.0,,,17.0
Chile:CHL,0.0,0.01807228915662651,0.0,0.0,0.7974545231637276,11396.0,56216.0
Georgia:GEO,0.0,0.006024096385542169,0.0,0.0,,,40741212.0
Singapore:SGP,0.0,0.030120481927710843,0.0,0.0,,,1528915.0
Malta:MLT,0.0,0.006024096385542169,0.0,0.0,,,1587.0
State of Palestine:PSE,0.0,0.012048192771084338,0.0,0.0,,,166261.0
Romania:ROU,0.0,0.012048192771084338,0.0,0.0,,,26526516.0
Rep. of Moldova:MDA,0.0,0.012048192771084338,0.0,0.0,,,1325.0
Fiji:FJI,0.0,0.006024096385542169,0.0,0.0,0.6041223259142288,37308748.0,44108.0
Armenia:ARM,0.3935275987671617,0.0,0.0963855421686747,0.0,,,2765.0
Antigua and Barbuda:ATG,0.0,0.006024096385542169,0.0,0.0,,,88456.0
Nicaragua:NIC,0.0,0.006024096385542169,0.0,0.0,,,11221.0
Albania:ALB,0.0,0.030120481927710843,0.0,0.0,,,15.0
Costa Rica:CRI,0.0,0.006024096385542169,0.0,0.0,0.6760039442767095,81020354.0,
Ghana:GHA,0.0,0.012048192771084338,0.0,0.0,,,738171.0
Gabon:GAB,0.0,0.030120481927710843,0.0,0.0,,,2651.0
Lithuania:LTU,0.0,0.006024096385542169,0.0,0.0,,,10693065.0
Trinidad and Tobago:TTO,0.012048192771084338,0.0,0.012048192771084338,0.0,,,4900164.0
Slovakia:SVK,0.024096385542168676,0.0,0.024096385542168676,0.0,,,724110.0
Mauritius:MUS,0.0,0.006024096385542169,0.0,0.0,,,1025631.0
Congo:COG,0.0,0.07228915662650603,0.0,0.0,0.5292725422415089,6760979.0,
Botswana:BWA,0.30742847165057746,0.006024096385542169,0.006024096385542169,0.0,1.0627340465758701,189305.0,
Netherlands:NLD,0.0,0.030120481927710843,0.0,0.0,,,19509799.0
Yemen:YEM,0.0,0.024096385542168676,0.0,0.0,,,3289210.0
USA:USA,0.0,0.006024096385542169,0.0,0.0,,,425202621.0
Equatorial Guinea:GNQ,0.0,0.01807228915662651,0.0,0.0,,,13389.0
Somalia:SOM,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0009857612267250822,,,13869091.0
Bosnia Herzegovina:BIH,0.0,0.01807228915662651,0.0,0.0,1.2764112903225806,6331.0,50938.0
Cyprus:CYP,0.0,0.006024096385542169,0.0,0.0,,,76917.0
Ukraine:UKR,0.0,0.012048192771084338,0.0,0.0,,,8588730.0
Iraq:IRQ,0.0,0.012048192771084338,0.0,0.0,,,123076.0
United Rep. of Tanzania:TZA,0.0,0.006024096385542169,0.0,0.0,,,20398320.0
Zimbabwe:ZWE,0.0,0.006024096385542169,0.0,0.0,,,188052.0
Barbados:BRB,0.0,0.07228915662650603,0.0,0.0,1.3212503684867036,9646667.0,1545.0
Belize:BLZ,0.0,0.012048192771084338,0.0,0.0,0.47232302535286913,29360517.0,
Seychelles:SYC,0.0,0.01807228915662651,0.0,0.0,,,288984.0
Iran:IRN,0.3493834160170092,0.042168674698795185,0.13253012048192772,0.004603406410635326,,,672021362.0
Tunisia:TUN,0.0,0.0963855421686747,0.0,0.0,,,42515786.0
Kiribati:KIR,0.4540915957407612,0.06626506024096386,0.27108433734939763,0.030871922690104508,,,1812764.0
TFYR of Macedonia:MKD,0.28445967779162623,0.06626506024096386,0.12650602409638556,0.024837676825628627,,,18178.0
France:FRA,0.0,0.006024096385542169,0.0,0.0,3.098820798539411,98045103.0,10140106.0
Canada:CAN,0.0,0.012048192771084338,0.0,0.0,0.32400266867947003,321505.0,334743028.0
Tonga:TON,0.0,0.030120481927710843,0.0,0.0,,,337688.0
Denmark:DNK,0.0,0.012048192771084338,0.0,0.0,2.2294758717923444,5874153.0,3756110.0
