country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Bolivia (Plurinational State of):BOL,0.21006037238090405,0.016304347826086956,0.010869565217391304,0.00011879306248515087,0.2915135563124869,3770379315.0,2593.0
Paraguay:PRY,0.0,0.005434782608695652,0.0,0.0,,,4.0
Dem. Rep. of the Congo:COD,0.0,0.02717391304347826,0.0,0.0,,,49777.0
Azerbaijan:AZE,0.1995806420514798,0.005434782608695652,0.010869565217391304,0.0,0.8850873188345152,200739681.0,8.0
Andorra:AND,0.0,0.005434782608695652,0.0,0.0,,,11.0
Indonesia:IDN,0.35091956945503855,0.02717391304347826,0.06521739130434782,0.0057842821429777945,0.37198166075403677,9224153094.0,462832633.0
Somalia:SOM,0.0,0.005434782608695652,0.0,0.0,,,11946.0
Greece:GRC,0.005434782608695652,0.016304347826086956,0.005434782608695652,9.50344499881207e-05,29.0,58.0,190750002.0
Japan:JPN,0.2682887319380548,0.07065217391304347,0.016304347826086956,0.002931510887676247,0.48804240353980594,37477.0,28576462054.0
Panama:PAN,0.0,0.005434782608695652,0.0,0.0,,,3.0
Bhutan:BTN,0.31918748072772124,0.02717391304347826,0.005434782608695652,0.00016939796430174192,,,93516.0
Venezuela:VEN,0.0,0.005434782608695652,0.0,0.0,,,95615525.0
South Africa:ZAF,0.0,0.005434782608695652,0.0,0.0,6.288277817042014,6272644.0,231128776.0
Algeria:DZA,0.2267276311466433,0.02717391304347826,0.059782608695652176,0.014398907647749417,2.305041455992131,11914155710.0,22.0
Jordan:JOR,0.37194574200503056,0.005434782608695652,0.09782608695652173,0.001663102874792112,,,266995035.0
Brazil:BRA,0.0,0.016304347826086956,0.0,0.0,0.4097407733956799,560459.0,3139567774.0
Uzbekistan:UZB,0.005434782608695652,0.048913043478260865,0.005434782608695652,0.0008835234022333096,,,2.0
Estonia:EST,0.0,0.005434782608695652,0.0,0.0,17.0,17.0,17976589.0
Ethiopia:ETH,0.32204246713852375,0.016304347826086956,0.005434782608695652,0.00671325503381811,,,1074380.0
