country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Samoa:WSM,0.007575757575757576,0.0,0.007575757575757576,0.0,0.6674688796680498,16086.0,
Venezuela:VEN,0.1952514839112777,0.030303030303030304,0.045454545454545456,0.030824052961457547,3.9193548387096775,243.0,
Finland:FIN,0.15620118712902217,0.007575757575757576,0.007575757575757576,0.0,0.4003693528693529,131161.0,25000.0
Bolivia (Plurinational State of):BOL,0.18518712470325374,0.0,0.015151515151515152,0.0,0.07073160616853644,983948170.0,
Serbia and Montenegro:SCG,0.0,0.007575757575757576,0.0,0.0,,,2893000.0
Wallis and Futuna Isds:WLF,0.0,0.007575757575757576,0.0,0.0,,,122.0
Dem. Rep. of the Congo:COD,0.0,0.015151515151515152,0.0,0.0,,,19850.0
Sao Tome and Principe:STP,0.0,0.007575757575757576,0.0,0.0,,,2465.0
Azerbaijan:AZE,0.0,0.015151515151515152,0.0,0.0,,,77601929.0
Eritrea:ERI,0.0,0.007575757575757576,0.0,0.0,,,2864010.0
Czechia:CZE,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00011084123679543526,21.0,42.0,523611276.0
"China, Hong Kong SAR:HKG",0.013636363636363636,0.007575757575757576,0.007575757575757576,0.0,1.625,1625.0,215823964.0
Gibraltar:GIB,0.2338196782641227,0.015151515151515152,0.03787878787878788,0.01785025830827358,,,232.0
Indonesia:IDN,0.18659501418122107,0.030303030303030304,0.015151515151515152,0.004669032197658152,0.4070833213889964,8106156072.0,117576.0
Slovenia:SVN,0.0,0.015151515151515152,0.0,0.0,2.48212173372579,26068174.0,35436546.0
Greece:GRC,0.14625014625014626,0.06818181818181818,0.022727272727272728,0.009372900212594874,,,111919118.0
Japan:JPN,0.1744287133631396,0.007575757575757576,0.015151515151515152,5.783021050196623e-05,0.24169845734475479,11390.0,10792194536.0
Russian Federation:RUS,0.0,0.007575757575757576,0.0,0.0,372.8974,5176.0,90783846.0
Fmr Sudan:SDN,0.0,0.030303030303030304,0.0,0.0,,,3367.0
Angola:AGO,0.0,0.007575757575757576,0.0,0.0,,,64272.0
Philippines:PHL,0.007575757575757576,0.0,0.007575757575757576,0.0,,,91648.0
